Rk,Season,Tm,TMSeason,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
5,2013-14,GSW,2013-14GSW,82,51,31,0.634,19830,3236,7005,2462,4968,774,2037,1303,1731,896,2819,3715,1912,642,407,1247,1784,8549
4,2014-15,GSW,2014-15GSW,82,67,15,0.817,19730,3410,7137,2527,4920,883,2217,1313,1709,853,2814,3667,2248,762,496,1185,1628,9016
3,2015-16,GSW,2015-16GSW,82,73,9,0.89,19880,3489,7159,2412,4567,1077,2592,1366,1790,816,2972,3788,2373,689,498,1245,1701,9421
2,2016-17,GSW,2016-17GSW,82,67,15,0.817,19780,3532,7140,2550,4578,982,2562,1457,1850,770,2873,3643,2491,785,555,1211,1585,9503
1,2017-18,GSW,2017-18GSW,8,5,3,0.195,1920,356,677,249,410,107,267,149,178,83,279,362,247,55,71,141,171,968
39,1979-80,HOU,1979-80HOU,82,41,41,0.512,19930,3599,7496,3495,7117,104,379,1782,2326,1394,2217,3611,2149,782,373,1565,1927,9084
38,1980-81,HOU,1980-81HOU,82,40,42,0.5,19805,3573,7335,3552,7217,21,118,1711,2223,1216,2347,3563,2099,705,390,1451,1901,8878
37,1981-82,HOU,1981-82HOU,82,46,36,0.573,19780,3504,7366,3454,7190,50,176,1622,2225,1403,2284,3687,1977,648,429,1321,1871,8680
36,1982-83,HOU,1982-83HOU,82,14,68,0.207,19730,3338,7446,3271,7175,67,271,1402,1934,1206,2260,3466,1931,646,422,1571,2131,8145
35,1983-84,HOU,1983-84HOU,82,29,53,0.366,19755,3729,7533,3699,7379,30,154,1583,2139,1200,2483,3683,2204,621,515,1562,2317,9071
34,1984-85,HOU,1984-85HOU,82,48,34,0.598,19830,3748,7440,3707,7254,41,186,1581,2261,1325,2395,3720,2239,683,597,1605,2033,9118
33,1985-86,HOU,1985-86HOU,82,51,31,0.634,19755,3759,7671,3674,7361,85,310,1776,2434,1316,2434,3750,2318,745,551,1374,1991,9379
32,1986-87,HOU,1986-87HOU,82,42,40,0.524,19780,3465,7262,3376,6938,89,324,1746,2355,1190,2481,3671,2227,654,555,1384,1973,8765
31,1987-88,HOU,1987-88HOU,82,46,36,0.573,19680,3465,7354,3396,7063,69,291,1936,2483,1239,2530,3769,1936,712,502,1367,1865,8935
30,1988-89,HOU,1988-89HOU,82,45,37,0.561,19855,3412,7196,3248,6673,164,523,1909,2527,1211,2554,3765,2016,789,501,1569,2026,8897
29,1989-90,HOU,1989-90HOU,82,41,41,0.512,19805,3483,7250,3330,6759,153,491,1633,2267,1217,2638,3855,2194,809,551,1513,1934,8752
28,1990-91,HOU,1990-91HOU,82,52,30,0.646,19855,3403,7287,3087,6298,316,989,1631,2200,1275,2508,3783,1906,796,409,1402,1874,8753
27,1991-92,HOU,1991-92HOU,82,42,40,0.524,19880,3273,6894,2944,5935,329,959,1491,2020,1074,2432,3506,2058,656,571,1378,1769,8366
26,1992-93,HOU,1992-93HOU,82,55,27,0.671,19780,3280,6744,2893,5671,387,1073,1584,2090,985,2532,3517,2115,682,543,1295,1699,8531
25,1993-94,HOU,1993-94HOU,82,58,24,0.714,19780,3197,6733,2768,5448,429,1285,1469,1978,926,2619,3545,2087,717,485,1338,1646,8292
24,1994-95,HOU,1994-95HOU,82,47,35,0.598,19730,3159,6579,2513,4822,646,1757,1527,2039,880,2440,3320,2060,721,514,1322,1714,8491
23,1995-96,HOU,1995-96HOU,82,48,34,0.598,19805,3078,6638,2441,4877,637,1761,1611,2106,919,2455,3374,1982,645,476,1245,1753,8404
22,1996-97,HOU,1996-97HOU,82,57,25,0.707,19855,3037,6484,2366,4645,671,1839,1503,1992,927,2565,3492,2013,685,347,1365,1610,8248
21,1997-98,HOU,1997-98HOU,82,41,41,0.512,19830,2946,6513,2373,4843,573,1670,1634,2120,987,2350,3337,1799,686,294,1298,1653,8099
20,1998-99,HOU,1998-99HOU,50,31,19,0.402,12075,1755,3798,1419,2884,336,914,865,1187,536,1540,2076,1058,386,260,812,960,4711
19,1999-00,HOU,1999-00HOU,82,34,48,0.439,19830,3001,6664,2420,5039,581,1625,1573,2145,1008,2586,3594,1774,613,438,1425,1663,8156
18,2000-01,HOU,2000-01HOU,82,45,37,0.571,19830,2943,6494,2439,5082,504,1412,1582,2086,919,2524,3443,1613,587,358,1204,1657,7972
17,2001-02,HOU,2001-02HOU,82,28,54,0.366,19980,2837,6629,2341,5149,496,1480,1402,1893,1025,2411,3436,1482,537,445,1156,1476,7572
16,2002-03,HOU,2002-03HOU,82,43,39,0.537,19930,2840,6461,2401,5194,439,1267,1569,2044,1024,2564,3588,1506,594,493,1276,1602,7688
15,2003-04,HOU,2003-04HOU,82,45,37,0.571,19930,2738,6195,2223,4789,515,1406,1371,1774,847,2647,3494,1579,560,443,1373,1762,7362
14,2004-05,HOU,2004-05HOU,82,51,31,0.634,19855,2846,6419,2293,4898,553,1521,1551,1986,874,2601,3475,1733,563,378,1135,1807,7796
13,2005-06,HOU,2005-06HOU,82,34,48,0.439,19830,2708,6252,2239,4838,469,1414,1502,1980,849,2565,3414,1580,588,320,1193,1863,7387
12,2006-07,HOU,2006-07HOU,82,52,30,0.646,19855,2906,6528,2201,4635,705,1893,1436,1906,880,2673,3553,1704,583,337,1162,1710,7953
11,2007-08,HOU,2007-08HOU,82,55,27,0.683,19730,3003,6698,2420,4991,583,1707,1342,1848,1002,2659,3661,1757,598,420,1125,1609,7931
10,2008-09,HOU,2008-09HOU,82,53,29,0.659,19805,2959,6526,2338,4870,621,1656,1531,1903,862,2662,3524,1662,548,355,1158,1553,8070
9,2009-10,HOU,2009-10HOU,82,42,40,0.537,19905,3094,6923,2448,5085,646,1838,1561,2022,971,2471,3442,1790,583,318,1188,1712,8395
8,2010-11,HOU,2010-11HOU,82,43,39,0.545,19880,3170,6975,2493,5132,677,1843,1668,2083,962,2549,3511,1955,581,371,1110,1641,8685
7,2011-12,HOU,2011-12HOU,66,34,32,0.439,16065,2489,5543,2011,4213,478,1330,1018,1301,769,2014,2783,1404,496,319,955,1347,6474
6,2012-13,HOU,2012-13HOU,82,45,37,0.573,19780,3124,6782,2257,4413,867,2369,1573,2087,909,2652,3561,1902,679,359,1348,1662,8688
5,2013-14,HOU,2013-14HOU,82,54,28,0.671,19830,3118,6603,2339,4424,779,2179,1814,2549,920,2797,3717,1755,621,461,1323,1676,8829
4,2014-15,HOU,2014-15HOU,82,56,26,0.695,19805,3032,6832,2099,4152,933,2680,1525,2133,958,2624,3582,1820,777,407,1366,1803,8522
3,2015-16,HOU,2015-16HOU,82,41,41,0.515,19830,3094,6847,2216,4314,878,2533,1671,2407,930,2601,3531,1821,821,430,1307,1790,8737
2,2016-17,HOU,2016-17HOU,82,55,27,0.683,19780,3305,7152,2124,3846,1181,3306,1667,2177,892,2746,3638,2070,670,352,1240,1634,9458
1,2017-18,HOU,2017-18HOU,8,5,3,0.2,1920,287,658,179,306,108,352,152,189,71,277,348,167,64,38,130,171,834
39,1979-80,IND,1979-80IND,82,37,45,0.476,19855,3639,7689,3551,7375,88,314,1753,2333,1398,2326,3724,2148,900,530,1517,1973,9119
38,1980-81,IND,1980-81IND,82,44,38,0.549,19730,3491,7245,3461,7076,30,169,1815,2540,1325,2267,3592,2091,833,484,1491,2006,8827
37,1981-82,IND,1981-82IND,82,35,47,0.44,19830,3332,7164,3229,6848,103,316,1612,2176,1141,2372,3513,1897,753,494,1393,2041,8379
36,1982-83,IND,1982-83IND,82,20,62,0.268,19830,3707,7723,3657,7487,50,236,1447,1910,1299,2294,3593,2150,755,411,1535,2086,8911
35,1983-84,IND,1983-84IND,82,26,56,0.341,19780,3447,7130,3399,6923,48,207,1624,2119,1002,2398,3400,2169,834,398,1525,2061,8566
34,1984-85,IND,1984-85IND,82,22,60,0.293,19780,3489,7324,3459,7169,30,155,1871,2516,1198,2623,3821,1945,625,366,1622,2237,8879
33,1985-86,IND,1985-86IND,82,26,56,0.341,19755,3441,7150,3418,7007,23,143,1614,2183,1138,2613,3751,2159,659,381,1515,2135,8519
32,1986-87,IND,1986-87IND,82,41,41,0.512,19930,3454,7324,3360,7008,94,316,1696,2170,1132,2464,3596,2170,697,311,1276,2097,8698
31,1987-88,IND,1987-88IND,82,38,44,0.488,19705,3436,7154,3273,6669,163,485,1546,1982,1078,2457,3535,1977,619,345,1318,2038,8581
30,1988-89,IND,1988-89IND,82,28,54,0.366,19855,3385,6945,3183,6330,202,615,1795,2275,1065,2497,3562,2012,563,418,1547,2105,8767
29,1989-90,IND,1989-90IND,82,42,40,0.524,19880,3381,6807,3087,6037,294,770,1906,2335,940,2388,3328,2023,552,350,1342,1972,8962
28,1990-91,IND,1990-91IND,82,41,41,0.512,19805,3450,6994,3201,6245,249,749,2010,2479,1018,2376,3394,2181,658,357,1355,2088,9159
27,1991-92,IND,1991-92IND,82,40,42,0.5,19955,3498,7079,3165,6139,333,940,1868,2364,1083,2564,3647,2398,705,393,1402,2137,9197
26,1992-93,IND,1992-93IND,82,41,41,0.512,19755,3371,7022,3114,6233,257,789,1837,2399,1220,2455,3675,2144,615,403,1256,2045,8836
25,1993-94,IND,1993-94IND,82,47,35,0.585,19755,3167,6516,2983,6016,184,500,1762,2387,1130,2409,3539,2055,706,457,1440,1974,8280
24,1994-95,IND,1994-95IND,82,52,30,0.646,19780,2983,6248,2609,5263,374,985,1796,2390,1051,2290,3341,1877,703,363,1340,1939,8136
23,1995-96,IND,1995-96IND,82,52,30,0.646,19755,2979,6205,2616,5232,363,973,1823,2416,1010,2262,3272,1917,579,323,1335,2031,8144
22,1996-97,IND,1996-97IND,82,39,43,0.5,19930,2851,6254,2421,5124,430,1130,1687,2336,1029,2390,3419,1750,585,394,1338,1977,7819
21,1997-98,IND,1997-98IND,82,58,24,0.712,19830,2921,6223,2520,5194,401,1029,1631,2136,874,2348,3222,1889,645,368,1168,1859,7874
20,1998-99,IND,1998-99IND,50,33,17,0.415,12100,1731,3866,1437,3067,294,799,977,1228,574,1452,2026,1005,316,223,649,1082,4733
19,1999-00,IND,1999-00IND,82,56,26,0.695,19730,3047,6640,2464,5153,583,1487,1629,2008,842,2612,3454,1857,559,422,1159,1786,8306
18,2000-01,IND,2000-01IND,82,41,41,0.512,19980,2828,6431,2432,5272,396,1159,1539,2009,921,2595,3516,1763,563,487,1244,1926,7591
17,2001-02,IND,2001-02IND,82,42,40,0.524,19905,2935,6580,2530,5385,405,1195,1663,2155,930,2568,3498,1884,658,436,1249,1876,7938
16,2002-03,IND,2002-03IND,82,48,34,0.598,19905,2911,6608,2532,5489,379,1119,1739,2271,1004,2622,3626,1910,696,443,1210,1811,7940
15,2003-04,IND,2003-04IND,82,61,21,0.744,19805,2753,6322,2304,5041,449,1281,1538,2014,965,2452,3417,1774,726,411,1182,1709,7493
14,2004-05,IND,2004-05IND,82,44,38,0.549,19905,2668,6169,2126,4594,542,1575,1748,2206,868,2418,3286,1489,615,357,1173,1890,7626
13,2005-06,IND,2005-06IND,82,41,41,0.512,19730,2786,6274,2250,4738,536,1536,1591,2158,898,2559,3457,1631,598,409,1254,1821,7699
12,2006-07,IND,2006-07IND,82,35,47,0.451,19780,2872,6561,2391,5172,481,1389,1615,2125,990,2441,3431,1680,599,447,1335,1912,7840
11,2007-08,IND,2007-08IND,82,36,46,0.463,19755,3102,6993,2347,4972,755,2021,1568,2042,904,2633,3537,1864,623,412,1236,1921,8527
10,2008-09,IND,2008-09IND,82,36,46,0.463,19830,3220,7080,2568,5355,652,1725,1525,1890,924,2661,3585,1775,573,434,1189,1895,8617
9,2009-10,IND,2009-10IND,82,32,50,0.415,19705,3020,6823,2361,4927,659,1896,1564,2019,785,2618,3403,1730,585,439,1232,1848,8263
8,2010-11,IND,2010-11IND,82,37,45,0.476,19780,3003,6787,2418,5134,585,1653,1592,2035,914,2657,3571,1611,584,456,1262,1782,8183
7,2011-12,IND,2011-12IND,66,42,24,0.524,15990,2354,5375,1962,4311,392,1064,1349,1724,826,2070,2896,1228,523,357,925,1430,6449
6,2012-13,IND,2012-13IND,81,49,32,0.61,19590,2845,6525,2290,4926,555,1599,1429,1915,1043,2671,3714,1645,580,513,1227,1623,7674
5,2013-14,IND,2013-14IND,82,56,26,0.695,19780,2949,6573,2399,5031,550,1542,1485,1907,834,2831,3665,1651,550,446,1237,1675,7933
4,2014-15,IND,2014-15IND,82,38,44,0.488,19855,2998,6824,2386,5084,612,1740,1373,1817,856,2822,3678,1757,505,375,1147,1742,7981
3,2015-16,IND,2015-16IND,82,45,37,0.573,19880,3142,6985,2479,5096,663,1889,1430,1872,847,2779,3626,1741,742,391,1219,1641,8377
2,2016-17,IND,2016-17IND,82,42,40,0.537,19855,3221,6931,2512,5046,709,1885,1467,1811,742,2702,3444,1844,669,409,1130,1597,8618
1,2017-18,IND,2017-18IND,6,3,3,0.146,1440,251,520,201,376,50,144,115,152,61,197,258,127,52,24,93,124,667
39,1979-80,KCK,1979-80KCK,82,47,35,0.573,19805,3582,7489,3557,7375,25,114,1671,2250,1187,2429,3616,2123,863,356,1439,2135,8860
38,1980-81,KCK,1980-81KCK,82,40,42,0.5,19830,3572,7151,3523,6983,49,168,1576,2206,1037,2450,3487,2271,719,385,1448,2092,8769
37,1981-82,KCK,1981-82KCK,82,30,52,0.379,19880,3604,7284,3578,7154,26,130,1551,2158,1086,2276,3362,2056,743,402,1507,2359,8785
36,1982-83,KCK,1982-83KCK,82,45,37,0.561,19780,3719,7485,3668,7270,51,215,1839,2530,1256,2407,3663,2155,765,409,1691,2432,9328
35,1983-84,KCK,1983-84KCK,82,38,44,0.488,19755,3516,7230,3464,7041,52,189,1939,2495,1144,2273,3417,2229,715,383,1504,2200,9023
34,1984-85,KCK,1984-85KCK,82,31,51,0.402,19755,3664,7275,3601,7037,63,238,2022,2595,1167,2327,3494,2342,661,300,1593,2169,9413
34,1984-85,LAC,1984-85LAC,82,31,51,0.402,19730,3527,7119,3471,6931,56,188,1674,2208,1163,2434,3597,1934,534,497,1587,1840,8784
33,1985-86,LAC,1985-86LAC,82,32,50,0.415,19755,3388,7165,3324,6936,64,229,2067,2683,1159,2258,3417,1968,694,501,1506,1931,8907
32,1986-87,LAC,1986-87LAC,82,12,70,0.207,19780,3311,7332,3233,6984,78,348,1866,2515,1231,2137,3368,1971,751,432,1493,2004,8566
31,1987-88,LAC,1987-88LAC,82,17,65,0.232,19805,3190,7194,3111,6877,79,317,1644,2305,1191,2350,3541,1885,721,520,1534,1908,8103
30,1988-89,LAC,1988-89LAC,82,21,61,0.28,19855,3526,7428,3472,7194,54,234,1606,2220,1156,2384,3540,2208,815,530,1666,1937,8712
29,1989-90,LAC,1989-90LAC,82,30,52,0.39,19805,3319,6853,3263,6623,56,230,1815,2458,1056,2362,3418,1978,782,507,1547,1859,8509
28,1990-91,LAC,1990-91LAC,82,31,51,0.402,19805,3391,7315,3278,6881,113,434,1596,2273,1246,2500,3746,2119,725,507,1438,2043,8491
27,1991-92,LAC,1991-92LAC,82,45,37,0.561,19830,3347,7076,3202,6574,145,502,1601,2223,1132,2393,3525,2053,824,498,1269,1873,8440
26,1992-93,LAC,1992-93LAC,82,41,41,0.512,19805,3544,7329,3411,6838,133,491,1562,2177,1183,2360,3543,2242,847,491,1338,1920,8783
25,1993-94,LAC,1993-94LAC,82,27,55,0.354,19780,3343,7163,3091,6332,252,831,1509,2128,1120,2410,3530,2169,807,421,1474,1769,8447
24,1994-95,LAC,1994-95LAC,82,17,65,0.244,19880,3060,6888,2729,5837,331,1051,1476,2079,1064,2076,3140,1805,787,435,1334,2152,7927
23,1995-96,LAC,1995-96LAC,82,29,53,0.378,19730,3126,6618,2617,5244,509,1374,1392,1984,979,2190,3169,1672,703,411,1355,2008,8153
22,1996-97,LAC,1996-97LAC,82,36,46,0.463,19930,2989,6696,2515,5357,474,1339,1517,2074,1092,2242,3334,1662,733,441,1311,1964,7969
21,1997-98,LAC,1997-98LAC,82,17,65,0.244,19780,2930,6690,2405,5222,525,1468,1480,2047,1040,2276,3316,1533,625,456,1323,1827,7865
20,1998-99,LAC,1998-99LAC,50,9,41,0.207,12125,1711,4007,1497,3339,214,668,883,1225,665,1293,1958,820,424,236,796,1223,4519
19,1999-00,LAC,1999-00LAC,82,15,67,0.232,19705,2877,6757,2448,5490,429,1267,1363,1826,955,2377,3332,1479,578,494,1325,1821,7546
18,2000-01,LAC,2000-01LAC,82,31,51,0.402,20030,2896,6467,2536,5404,360,1063,1429,2061,962,2559,3521,1585,490,513,1293,1775,7581
17,2001-02,LAC,2001-02LAC,82,39,43,0.5,19805,2970,6668,2562,5521,408,1147,1498,2026,1083,2474,3557,1714,510,540,1214,1624,7846
16,2002-03,LAC,2002-03LAC,82,27,55,0.354,19755,2835,6490,2445,5312,390,1178,1633,2177,1008,2462,3470,1605,574,461,1291,1784,7693
15,2003-04,LAC,2003-04LAC,82,28,54,0.366,19805,2817,6579,2488,5555,329,1024,1808,2302,1149,2416,3565,1653,594,376,1344,1816,7771
14,2004-05,LAC,2004-05LAC,82,37,45,0.476,20030,2924,6368,2693,5699,231,669,1770,2274,980,2455,3435,1901,599,422,1290,1819,7849
13,2005-06,LAC,2005-06LAC,82,47,35,0.585,19805,2993,6443,2703,5600,290,843,1694,2142,828,2704,3532,1708,534,503,1185,1872,7970
12,2006-07,LAC,2006-07LAC,82,40,42,0.5,19730,2880,6318,2566,5415,314,903,1769,2245,888,2484,3372,1762,596,472,1239,1858,7843
11,2007-08,LAC,2007-08LAC,82,23,59,0.305,19805,2820,6445,2470,5366,350,1079,1702,2178,800,2491,3291,1732,557,398,1180,1745,7692
10,2008-09,LAC,2008-09LAC,82,19,63,0.268,19880,2955,6696,2420,5183,535,1513,1354,1839,890,2377,3267,1723,572,482,1221,1650,7799
9,2009-10,LAC,2009-10LAC,82,29,53,0.378,19705,3002,6601,2519,5144,483,1457,1362,1867,927,2502,3429,1810,532,466,1285,1581,7849
8,2010-11,LAC,2010-11LAC,82,32,50,0.415,19855,3015,6594,2502,5075,513,1519,1546,2187,955,2501,3456,1813,585,402,1343,1733,8089
7,2011-12,LAC,2011-12LAC,66,40,26,0.5,15965,2439,5366,1925,3925,514,1441,1046,1538,800,1943,2743,1385,556,315,879,1399,6438
6,2012-13,LAC,2012-13LAC,82,56,26,0.695,19730,3160,6608,2533,4856,627,1752,1342,1888,938,2475,3413,1958,784,461,1197,1716,8289
5,2013-14,LAC,2013-14LAC,82,57,25,0.707,19755,3208,6761,2515,4795,693,1966,1741,2384,858,2668,3526,2016,703,397,1136,1767,8850
4,2014-15,LAC,2014-15LAC,82,56,26,0.695,19730,3228,6830,2401,4628,827,2202,1468,2067,784,2711,3495,2031,640,409,1012,1749,8751
3,2015-16,LAC,2015-16LAC,82,53,29,0.659,19830,3141,6759,2344,4569,797,2190,1490,2152,721,2727,3448,1873,709,460,1063,1746,8569
2,2016-17,LAC,2016-17LAC,82,51,31,0.634,19755,3242,6820,2401,4575,841,2245,1586,2128,738,2790,3528,1848,612,347,1062,1626,8911
1,2017-18,LAC,2017-18LAC,6,4,2,0.183,1440,232,525,164,346,68,179,112,152,76,211,287,121,50,23,86,125,644
39,1979-80,LAL,1979-80LAL,82,60,22,0.732,19880,3898,7368,3878,7268,20,100,1622,2092,1085,2653,3738,2413,774,546,1639,1784,9438
38,1980-81,LAL,1980-81LAL,82,54,28,0.659,19805,3780,7382,3763,7288,17,94,1540,2113,1165,2491,3656,2363,808,551,1557,1955,9117
37,1981-82,LAL,1981-82LAL,82,57,25,0.695,19855,3919,7585,3906,7491,13,94,1549,2161,1258,2505,3763,2356,848,517,1468,1999,9400
36,1982-83,LAL,1982-83LAL,82,58,24,0.707,19730,3964,7512,3954,7416,10,96,1495,2031,1235,2433,3668,2519,844,479,1584,1931,9433
35,1983-84,LAL,1983-84LAL,82,54,28,0.659,19780,3854,7250,3796,7024,58,226,1712,2272,1095,2499,3594,2455,726,478,1578,2054,9478
34,1984-85,LAL,1984-85LAL,82,62,20,0.756,19755,3952,7254,3862,6959,90,295,1702,2232,1063,2550,3613,2575,695,481,1537,1931,9696
33,1985-86,LAL,1985-86LAL,82,62,20,0.756,19830,3834,7343,3696,6934,138,409,1812,2329,1101,2555,3656,2433,693,419,1467,2031,9618
32,1986-87,LAL,1986-87LAL,82,65,17,0.793,19730,3740,7245,3576,6798,164,447,2012,2550,1127,2515,3642,2428,728,482,1358,1853,9656
31,1987-88,LAL,1987-88LAL,82,62,20,0.756,19805,3576,7078,3434,6600,142,478,1956,2480,1073,2491,3564,2347,672,404,1318,1715,9250
30,1988-89,LAL,1988-89LAL,82,57,25,0.695,19805,3584,7143,3357,6476,227,667,2011,2508,1094,2612,3706,2282,724,421,1344,1672,9406
29,1989-90,LAL,1989-90LAL,82,63,19,0.768,19855,3434,7010,3125,6169,309,841,1902,2417,1097,2460,3557,2232,655,445,1226,1737,9079
28,1990-91,LAL,1990-91LAL,82,58,24,0.707,19830,3343,6911,3117,6167,226,744,1805,2261,1078,2440,3518,2091,642,384,1203,1524,8717
27,1991-92,LAL,1991-92LAL,82,43,39,0.537,19830,3183,6977,3064,6532,119,445,1744,2278,1156,2196,3352,1803,756,400,1089,1543,8229
26,1992-93,LAL,1992-93LAL,82,39,43,0.5,19830,3309,6994,3122,6368,187,626,1741,2304,1103,2288,3391,2013,782,431,1266,1778,8546
25,1993-94,LAL,1993-94LAL,82,33,49,0.42,19755,3291,7316,3050,6513,241,803,1410,1967,1260,2204,3464,1983,751,461,1197,1877,8233
24,1994-95,LAL,1994-95LAL,82,48,34,0.598,19905,3284,7088,2759,5596,525,1492,1523,2072,1126,2316,3442,2078,750,563,1243,1933,8616
23,1995-96,LAL,1995-96LAL,82,53,29,0.659,19680,3216,6706,2739,5347,477,1359,1529,2049,995,2303,3298,2080,722,516,1163,1702,8438
22,1996-97,LAL,1996-97LAL,82,56,26,0.695,19930,3018,6642,2467,5142,551,1500,1613,2330,1092,2414,3506,1845,740,575,1222,1818,8200
21,1997-98,LAL,1997-98LAL,82,61,21,0.744,19830,3146,6536,2649,5121,497,1415,1863,2743,1079,2471,3550,2009,734,556,1256,1859,8652
20,1998-99,LAL,1998-99LAL,50,31,19,0.402,12050,1841,3935,1600,3250,241,685,1027,1503,619,1482,2101,1095,389,287,754,1231,4950
19,1999-00,LAL,1999-00LAL,82,67,15,0.817,19805,3137,6836,2793,5789,344,1047,1649,2368,1117,2738,3855,1921,613,534,1143,1841,8267
18,2000-01,LAL,2000-01LAL,82,56,26,0.695,19905,3109,6685,2670,5410,439,1275,1594,2333,1085,2583,3668,1888,564,490,1184,1872,8251
17,2001-02,LAL,2001-02LAL,82,58,24,0.72,19780,3150,6840,2640,5401,510,1439,1494,2138,1022,2607,3629,1882,625,478,1040,1823,8304
16,2002-03,LAL,2002-03LAL,82,50,32,0.622,19930,3091,6856,2605,5489,486,1367,1562,2129,1078,2554,3632,1909,639,470,1192,1874,8230
15,2003-04,LAL,2003-04LAL,82,56,26,0.683,19855,3028,6676,2663,5561,365,1115,1631,2352,1001,2535,3536,1948,682,379,1132,1732,8052
14,2004-05,LAL,2004-05LAL,82,34,48,0.439,19780,2895,6629,2251,4816,644,1813,1661,2137,1028,2511,3539,1672,508,344,1176,1794,8095
13,2005-06,LAL,2005-06LAL,82,45,37,0.573,19855,2992,6607,2440,5024,552,1583,1618,2172,970,2488,3458,1734,628,350,1143,1894,8154
12,2006-07,LAL,2006-07LAL,82,42,40,0.537,20030,3103,6664,2495,4940,608,1724,1660,2221,886,2495,3381,1850,600,421,1273,1889,8474
11,2007-08,LAL,2007-08LAL,82,57,25,0.707,19780,3248,6818,2586,5067,662,1751,1746,2270,898,2722,3620,2003,654,438,1156,1691,8904
10,2008-09,LAL,2008-09LAL,82,65,17,0.793,19780,3307,6981,2760,5465,547,1516,1607,2087,1015,2587,3602,1908,718,420,1103,1698,8768
9,2009-10,LAL,2009-10LAL,82,57,25,0.707,19830,3144,6875,2612,5313,532,1562,1519,1985,973,2662,3635,1730,612,400,1096,1592,8339
8,2010-11,LAL,2010-11LAL,82,57,25,0.7,19830,3128,6757,2604,5270,524,1487,1541,1979,989,2616,3605,1801,602,422,1073,1555,8321
7,2011-12,LAL,2011-12LAL,66,41,25,0.512,16065,2429,5319,2067,4207,362,1112,1202,1589,799,2251,3050,1485,390,351,997,1109,6422
6,2012-13,LAL,2012-13LAL,82,45,37,0.573,19755,3041,6640,2326,4625,715,2015,1584,2289,942,2732,3674,1818,576,429,1232,1467,8381
5,2013-14,LAL,2013-14LAL,82,27,55,0.354,19705,3139,6980,2365,4948,774,2032,1390,1835,745,2620,3365,2006,611,446,1239,1627,8442
4,2014-15,LAL,2014-15LAL,82,21,61,0.293,19930,3054,7020,2522,5474,532,1546,1433,1935,952,2647,3599,1715,578,366,1086,1741,8073
3,2015-16,LAL,2015-16LAL,82,17,65,0.244,19730,2880,6956,2241,4940,639,2016,1583,2028,878,2645,3523,1478,593,337,1124,1662,7982
2,2016-17,LAL,2016-17LAL,82,26,56,0.354,19705,3224,7164,2494,5054,730,2110,1397,1853,933,2636,3569,1716,674,320,1243,1698,8575
1,2017-18,LAL,2017-18LAL,6,2,4,0.134,1465,237,527,197,383,40,144,97,136,55,218,273,134,51,31,115,138,611
17,2001-02,MEM,2001-02MEM,82,23,59,0.305,19780,2851,6535,2515,5439,336,1096,1334,1883,984,2413,3397,1785,646,488,1344,1571,7372
16,2002-03,MEM,2002-03MEM,82,28,54,0.366,19930,3049,6743,2582,5464,467,1279,1430,1936,943,2466,3409,1892,651,500,1262,1678,7995
15,2003-04,MEM,2003-04MEM,82,50,32,0.622,19880,2963,6657,2516,5343,447,1314,1557,2143,1047,2381,3428,1915,795,565,1226,1903,7930
14,2004-05,MEM,2004-05MEM,82,45,37,0.571,19705,2802,6271,2271,4785,531,1486,1526,2024,887,2307,3194,1716,699,476,1197,1910,7661
13,2005-06,MEM,2005-06MEM,82,49,33,0.61,19855,2746,6125,2156,4547,590,1578,1476,2077,834,2379,3213,1586,600,442,1134,1757,7558
12,2006-07,MEM,2006-07MEM,82,22,60,0.305,19980,2998,6448,2498,5086,500,1362,1835,2410,866,2375,3241,1680,564,407,1343,1827,8331
11,2007-08,MEM,2007-08MEM,82,22,60,0.305,19805,3060,6737,2440,4958,620,1779,1517,2097,848,2567,3415,1574,503,386,1251,1592,8257
10,2008-09,MEM,2008-09MEM,82,24,58,0.317,19805,2865,6311,2467,5205,398,1106,1570,2077,847,2337,3184,1423,615,385,1252,1777,7698
9,2009-10,MEM,2009-10MEM,82,40,42,0.5,19905,3223,6875,2879,5855,344,1020,1614,2202,1070,2496,3566,1543,645,399,1248,1655,8404
8,2010-11,MEM,2010-11MEM,82,46,36,0.573,19880,3200,6801,2891,5875,309,926,1486,1981,970,2391,3361,1691,771,441,1145,1705,8195
7,2011-12,MEM,2011-12MEM,66,41,25,0.512,15940,2425,5422,2148,4573,277,849,1142,1504,831,1944,2775,1290,631,345,955,1316,6269
6,2012-13,MEM,2012-13MEM,82,56,26,0.683,19805,2964,6679,2582,5572,382,1107,1349,1746,1059,2445,3504,1715,703,436,1144,1660,7659
5,2013-14,MEM,2013-14MEM,82,50,32,0.622,19805,3122,6723,2717,5576,405,1147,1235,1666,950,2526,3476,1792,631,375,1124,1568,7884
4,2014-15,MEM,2014-15MEM,82,55,27,0.671,19905,3097,6763,2674,5517,423,1246,1445,1869,856,2634,3490,1777,700,347,1094,1567,8062
3,2015-16,MEM,2015-16MEM,82,42,40,0.537,19830,3019,6859,2515,5338,504,1521,1584,2024,916,2497,3413,1697,724,350,1090,1783,8126
